RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote;kol
C1*;Конденсатор чип;GR442QR73D102KW01; ;1000; ; ;Murata;*) не уст.; ; ; ;2000; ;Прочие изделия; ;1
C2*;Конденсатор чип;GR442QR73D102KW01; ;1000; ; ;Murata;*) не уст.; ; ; ;2000; ;Прочие изделия; ;1
C3*;Конденсатор чип;GR442QR73D102KW01; ;1000; ; ;Murata;*) не уст.; ; ; ;2000; ;Прочие изделия; ;1
C4*;Конденсатор чип;GR442QR73D102KW01; ;1000; ; ;Murata;*) не уст.; ; ; ;2000; ;Прочие изделия; ;1
C5;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C6;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C7;Конденсатор танталовый чип;T491C107K010AT; ;100 мк; ; ;Kemet; ; ; ; ; ; ;Прочие изделия; ;1
C8;Конденсатор танталовый чип;T491C107K010AT; ;100 мк; ; ;Kemet; ; ; ; ; ; ;Прочие изделия; ;1
C9;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C10;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C11;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C12;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C13;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C14;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C15;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;1
C16*;Конденсатор чип;C0805C105K4RAC; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDDDDD ; ; ;16; ;Прочие изделия; ;1
DD1;Микросхема;SN74AHC1G125DCK; ; ; ; ;Texas Instruments; ; ; ; ; ; ;Прочие изделия; ;1
DD2;Микросхема;SN74AHC1G125DCK; ; ; ; ;Texas Instruments; ; ; ; ; ; ;Прочие изделия; ;1
R1*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R2*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R3*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R4*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R5;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R6*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R7*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R8*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R9;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R10;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R11;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R12*;Резистор чип;CRCW060361R9FK; ;61,9; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R13;Резистор чип;CRCW060361R9FK; ;61,9; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R14;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R15;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R16;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R17;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R18;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R19;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R20;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R21;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R22*;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R23;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; ;1
R24;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; ;1
R25;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; ;1
R26;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; ;1
