       Variants report for Z:\PRJ\SEZ\MKm-3\PCB\MKm-3\MKm-3\PCB\MKm-3.pcb
       ==================================================================
Variant group: (Default)

Date : 19.09.2016 15:42:13

+---------+--------------------------+-----+-----+
| Ref Des | Part Number              | 01  | 02  |
+---------+--------------------------+-----+-----+
| BQ1     | ABM8G-25.000MHZ-18-D2Y-T |     |     |
| BQ2     | ABM8G-25.000MHZ-18-D2Y-T |     |     |
| BQ3     | ABM8G-25.000MHZ-18-D2Y-T | DNP |     |
| BQ4     | ABM8G-25.000MHZ-18-D2Y-T |     |     |
| C1      | C0805C475K4RAC           |     |     |
| C2      | C0603C105K4RAC           |     |     |
| C3      | C0402C104J4RAC           |     |     |
| C4      | C0402C104J4RAC           |     |     |
| C5      | C0402C104J4RAC           |     |     |
| C6      | C0402C104J4RAC           |     |     |
| C7      | C0603C224J4RAC           |     |     |
| C8      | C0603C105K4RAC           |     |     |
| C9      | C0805C475K4RAC           |     |     |
| C10     | C0805C475K4RAC           |     |     |
| C11     | C0805C475K4RAC           |     |     |
| C12     | C0603C105K4RAC           |     |     |
| C13     | C1206C226K8RAC           |     |     |
| C14     | C1206C226K8RAC           |     |     |
| C15     | C0603C105K4RAC           |     |     |
| C16     | C1206C226K8RAC           | DNP | DNP |
| C17     | C1206C226K8RAC           |     |     |
| C18     | C1206C226K8RAC           |     |     |
| C19     | C0402C104J4RAC           |     |     |
| C20     | C1206C106K3RAC           |     |     |
| C21     | C0402C103J4RAC           |     |     |
| C22     | C0402C104J4RAC           |     |     |
| C23     | C0603C474J4RAC           |     |     |
| C24     | C0402C104J4RAC           |     |     |
| C25     | C0402C100J4RAC           |     |     |
| C26     | C1206C226K8RAC           |     |     |
| C27     | C1206C226K8RAC           |     |     |
| C28     | C1206C226K8RAC           |     |     |
| C29     | C1206C226K8RAC           |     |     |
| C30     | C0402C104J4RAC           | DNP |     |
| C31     | C0402C104J4RAC           |     |     |
| C32     | C0402C104J4RAC           |     |     |
| C33     | C0402C104J4RAC           |     |     |
| C34     | C0402C104J4RAC           |     |     |
| C35     | C0402C104J4RAC           |     |     |
| C36     | C0402C104J4RAC           |     |     |
| C37     | C0402C104J4RAC           |     |     |
| C38     | C0402C104J4RAC           |     |     |
| C39     | C0402C104J4RAC           |     |     |
| C40     | C0402C104J4RAC           |     |     |
| C41     | C0402C104J4RAC           |     |     |
| C42     | C0402C104J4RAC           |     |     |
| C43     | C0402C104J4RAC           |     |     |
| C44     | C0402C104J4RAC           |     |     |
| C45     | C0402C104J4RAC           |     |     |
| C46     | C0402C104J4RAC           |     |     |
| C47     | C0402C104J4RAC           |     |     |
| C48     | C0402C104J4RAC           |     |     |
| C49     | C0402C180J4RAC           |     |     |
| C50     | C0402C180J4RAC           |     |     |
| C51     | C0402C104J4RAC           |     |     |
| C52     | C0402C104J4RAC           |     |     |
| C53     | C0402C104J4RAC           |     |     |
| C54     | C0402C104J4RAC           |     |     |
| C55     | C0402C104J4RAC           |     |     |
| C56     | C0402C104J4RAC           |     |     |
| C57     | C0402C104J4RAC           |     |     |
| C58     | C0402C104J4RAC           |     |     |
| C59     | C0402C104J4RAC           |     |     |
| C60     | C0402C104J4RAC           |     |     |
| C61     | C0402C104J4RAC           |     |     |
| C62     | C0402C104J4RAC           |     |     |
| C63     | C0402C104J4RAC           |     |     |
| C64     | C0402C104J4RAC           |     |     |
| C65     | C0402C104J4RAC           |     |     |
| C66     | C0402C104J4RAC           |     |     |
| C67     | C0402C104J4RAC           |     |     |
| C68     | C0402C104J4RAC           |     |     |
| C69     | C0402C104J4RAC           |     |     |
| C70     | C0402C104J4RAC           |     |     |
| C71     | C0402C104J4RAC           |     |     |
| C72     | C1206C102KGRAC           |     |     |
| C73     | C1206C102KGRAC           |     |     |
| C74     | C0402C104J4RAC           |     |     |
| C75     | C0402C104J4RAC           |     |     |
| C76     | C0402C104J4RAC           |     |     |
| C77     | C0402C104J4RAC           |     |     |
| C78     | C0402C104J4RAC           |     |     |
| C79     | C0402C104J4RAC           |     |     |
| C80     | C0402C104J4RAC           |     |     |
| C81     | C0402C104J4RAC           |     |     |
| C82     | C0402C104J4RAC           |     |     |
| C83     | C0402C104J4RAC           |     |     |
| C84     | C0402C104J4RAC           |     |     |
| C85     | C0402C104J4RAC           |     |     |
| C86     | C0402C104J4RAC           |     |     |
| C87     | C0402C104J4RAC           |     |     |
| C88     | C0402C104J4RAC           |     |     |
| C89     | C0402C104J4RAC           |     |     |
| C90     | C0402C104J4RAC           |     |     |
| C91     | C0402C104J4RAC           |     |     |
| C92     | C0402C104J4RAC           |     |     |
| C93     | C0402C104J4RAC           |     |     |
| C94     | C0402C104J4RAC           |     |     |
| C95     | C0402C104J4RAC           |     |     |
| C96     | C0402C104J4RAC           |     |     |
| C97     | C0402C104J4RAC           |     |     |
| C98     | C0402C104J4RAC           |     |     |
| C99     | C0402C104J4RAC           |     |     |
| C100    | C0402C104J4RAC           |     |     |
| C101    | C0402C104J4RAC           |     |     |
| C102    | C0402C104J4RAC           |     |     |
| C103    | C0402C104J4RAC           |     |     |
| C104    | C0402C104J4RAC           |     |     |
| C105    | C0402C104J4RAC           |     |     |
| C106    | C0402C104J4RAC           |     |     |
| C107    | C0402C104J4RAC           |     |     |
| C108    | C0402C104J4RAC           |     |     |
| C109    | C0402C104J4RAC           |     |     |
| C110    | C0402C104J4RAC           |     |     |
| C111    | C0402C104J4RAC           |     |     |
| C112    | C0402C104J4RAC           |     |     |
| C113    | C0402C104J4RAC           |     |     |
| C114    | C0402C104J4RAC           |     |     |
| C115    | C0402C104J4RAC           |     |     |
| C116    | C0402C104J4RAC           |     |     |
| C117    | C0402C104J4RAC           |     |     |
| C118    | C0402C104J4RAC           |     |     |
| C119    | C0402C104J4RAC           |     |     |
| C120    | C0402C104J4RAC           |     |     |
| C121    | C0402C104J4RAC           |     |     |
| C122    | C0402C104J4RAC           |     |     |
| C123    | C0402C104J4RAC           |     |     |
| C124    | C0402C180J4RAC           |     |     |
| C125    | C0402C180J4RAC           |     |     |
| C126    | C0402C104J4RAC           |     |     |
| C127    | C0402C104J4RAC           |     |     |
| C128    | C0402C104J4RAC           |     |     |
| C129    | C0402C104J4RAC           |     |     |
| C130    | C0402C104J4RAC           |     |     |
| C131    | C0402C104J4RAC           |     |     |
| C132    | C0402C104J4RAC           |     |     |
| C133    | C0402C104J4RAC           |     |     |
| C134    | C0402C104J4RAC           |     |     |
| C135    | C0402C104J4RAC           |     |     |
| C136    | C0402C104J4RAC           |     |     |
| C137    | C0402C104J4RAC           |     |     |
| C138    | C0402C104J4RAC           |     |     |
| C139    | C0402C104J4RAC           |     |     |
| C140    | C0402C104J4RAC           |     |     |
| C141    | C0402C104J4RAC           |     |     |
| C142    | C0402C104J4RAC           |     |     |
| C143    | C0402C104J4RAC           |     |     |
| C144    | C0402C104J4RAC           |     |     |
| C145    | C0402C104J4RAC           |     |     |
| C146    | C0402C104J4RAC           |     |     |
| C147    | C1206C102KGRAC           |     |     |
| C148    | C1206C102KGRAC           |     |     |
| C149    | C0402C104J4RAC           |     |     |
| C150    | C0402C104J4RAC           |     |     |
| C151    | C0402C104J4RAC           |     |     |
| C152    | C0402C104J4RAC           |     |     |
| C153    | C0402C104J4RAC           |     |     |
| C154    | C0402C104J4RAC           |     |     |
| C155    | C0402C104J4RAC           |     |     |
| C156    | C0402C104J4RAC           |     |     |
| C157    | C0402C104J4RAC           |     |     |
| C158    | C0402C104J4RAC           |     |     |
| C159    | C0402C104J4RAC           |     |     |
| C160    | C0402C104J4RAC           |     |     |
| C161    | C0402C104J4RAC           |     |     |
| C162    | C0402C104J4RAC           |     |     |
| C163    | C0402C104J4RAC           |     |     |
| C164    | C0402C104J4RAC           |     |     |
| C165    | C0402C104J4RAC           |     |     |
| C166    | C0402C104J4RAC           |     |     |
| C167    | C0402C104J4RAC           |     |     |
| C168    | C0402C104J4RAC           |     |     |
| C169    | C0402C104J4RAC           |     |     |
| C170    | C0402C104J4RAC           |     |     |
| C171    | C0402C104J4RAC           |     |     |
| C172    | C0402C104J4RAC           |     |     |
| C173    | C0402C104J4RAC           | DNP | DNP |
| C174    | C0402C104J4RAC           | DNP | DNP |
| C175    | C0402C104J4RAC           | DNP |     |
| C176    | C0402C104J4RAC           | DNP |     |
| C177    | C0402C104J4RAC           | DNP | DNP |
| C178    | C0402C104J4RAC           | DNP | DNP |
| C179    | C0402C104J4RAC           | DNP |     |
| C180    | C0402C104J4RAC           | DNP |     |
| C181    | C0402C104J4RAC           |     |     |
| C182    | C0402C104J4RAC           |     |     |
| C183    | C0402C104J4RAC           |     |     |
| C184    | C0402C104J4RAC           |     |     |
| C185    | C0402C104J4RAC           |     |     |
| C186    | C0402C104J4RAC           |     |     |
| C187    | C0402C104J4RAC           | DNP | DNP |
| C188    | C0402C104J4RAC           | DNP | DNP |
| C189    | C0402C104J4RAC           | DNP |     |
| C190    | C0402C104J4RAC           | DNP |     |
| C191    | C0402C104J4RAC           | DNP | DNP |
| C192    | C0402C104J4RAC           | DNP | DNP |
| C193    | C0402C104J4RAC           | DNP |     |
| C194    | C0402C104J4RAC           | DNP |     |
| C195    | C0402C104J4RAC           | DNP |     |
| C196    | C0402C104J4RAC           | DNP |     |
| C197    | C0402C104J4RAC           | DNP | DNP |
| C198    | C0402C104J4RAC           | DNP |     |
| C199    | C0402C104J4RAC           | DNP |     |
| C200    | C0402C104J4RAC           | DNP | DNP |
| C201    | C1206C106K3RAC           | DNP |     |
| C202    | C0402C104J4RAC           | DNP |     |
| C203    | C0402C104J4RAC           | DNP |     |
| C204    | C0402C104J4RAC           | DNP | DNP |
| C205    | C1206C106K3RAC           | DNP |     |
| C206    | C0402C104J4RAC           | DNP |     |
| C207    | C0402C104J4RAC           | DNP | DNP |
| C208    | C0402C104J4RAC           | DNP |     |
| C209    | C0402C104J4RAC           | DNP |     |
| C210    | C1206C106K3RAC           | DNP |     |
| C211    | C0402C104J4RAC           | DNP |     |
| C212    | C1206C106K3RAC           | DNP |     |
| C213    | C0402C104J4RAC           | DNP |     |
| C214    | C0402C104J4RAC           | DNP |     |
| C215    | C1206C106K3RAC           | DNP |     |
| C216    | C0402C104J4RAC           | DNP |     |
| C217    | C1206C106K3RAC           | DNP |     |
| C218    | T58MM106M6R3C0300        | DNP | DNP |
| C219    | C0402C180J4RAC           | DNP |     |
| C220    | C1206C106K3RAC           | DNP |     |
| C221    | T58MM106M6R3C0300        | DNP | DNP |
| C222    | C1206C106K3RAC           | DNP |     |
| C223    | C0402C180J4RAC           | DNP |     |
| C224    | C1206C106K3RAC           | DNP |     |
| C225    | C0402C104J4RAC           | DNP |     |
| C226    | C0402C104J4RAC           | DNP |     |
| C227    | C0402C104J4RAC           | DNP |     |
| C228    | C0402C104J4RAC           | DNP |     |
| C229    | C0402C104J4RAC           | DNP |     |
| C230    | C0402C104J4RAC           | DNP |     |
| C231    | C0402C104J4RAC           | DNP |     |
| C232    | C0402C104J4RAC           | DNP |     |
| C233    | C1206C106K3RAC           | DNP |     |
| C234    | C0402C393J4RAC           | DNP |     |
| C235    | C0402C104J4RAC           | DNP |     |
| C236    | C0402C104J4RAC           | DNP |     |
