RefDes         ;Name           ;Part Number;PartNumberRU                                                    ;Value     ;TU GOST   ;PartDocument                  ;Manufacturer                    ;Unplaced        ;Case            ;TCx             ;PowerRating     ;Voltage         ;ReplacementPN                                                   ;SpecSection                     ;BomNote         ;Tolerance 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BQ1            ;               ;           ;                                                                ;          ;          ;                              ;Abracon                         ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
BQ2            ;               ;           ;                                                                ;          ;          ;                              ;Abracon                         ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
BQ3            ;               ;           ;                                                                ;          ;          ;                              ;Abracon                         ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
BQ4            ;               ;           ;                                                                ;          ;          ;                              ;Abracon                         ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C1             ;               ;           ;                                                                ;4,7 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C2             ;               ;           ;                                                                ;1 לך      ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C3             ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C4             ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C5             ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C6             ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C7             ;               ;           ;                                                                ;0,22 לך   ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C8             ;               ;           ;                                                                ;1 לך      ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C9             ;               ;           ;                                                                ;4,7 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C10            ;               ;           ;                                                                ;4,7 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C11            ;               ;           ;                                                                ;4,7 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C12            ;               ;           ;                                                                ;1 לך      ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C13            ;               ;           ;                                                                ;22 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C14            ;               ;           ;                                                                ;22 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C15            ;               ;           ;                                                                ;1 לך      ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C16            ;               ;           ;                                                                ;22 לך     ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C17            ;               ;           ;                                                                ;22 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C18            ;               ;           ;                                                                ;22 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C19            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C20            ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C21            ;               ;           ;                                                                ;0,01 לך   ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
