RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote;Tolerance
BQ1;Резонатор;ABM8G-25.000MHZ-18-D2Y-T; ;25 МГц; ; ;Abracon; ;SMD 3,2х2,5;30 PPM; ; ; ;Прочие изделия; ;20 PPM
BQ2;Резонатор;ABM8G-25.000MHZ-18-D2Y-T; ;25 МГц; ; ;Abracon; ;SMD 3,2х2,5;30 PPM; ; ; ;Прочие изделия; ;20 PPM
BQ3;Резонатор;ABM8G-25.000MHZ-18-D2Y-T; ;25 МГц; ; ;Abracon;*;SMD 3,2х2,5;30 PPM; ; ; ;Прочие изделия; ;20 PPM
BQ4;Резонатор;ABM8G-25.000MHZ-18-D2Y-T; ;25 МГц; ; ;Abracon; ;SMD 3,2х2,5;30 PPM; ; ; ;Прочие изделия; ;20 PPM
C1;Чип конденсатор;C0805C475K4RAC; ;4,7 мк; ; ;Kemet; ;0805;X7R; ; ; ;Прочие изделия; ;10
C2;Чип конденсатор;C0603C105K4RAC; ;1 мк; ; ;Kemet; ;0603;X7R; ; ; ;Прочие изделия; ;10
C3;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C4;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C5;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C6;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C7;Чип конденсатор;C0603C224J4RAC; ;0,22 мк; ; ;Kemet; ;0603;X7R; ; ; ;Прочие изделия; ;5
C8;Чип конденсатор;C0603C105K4RAC; ;1 мк; ; ;Kemet; ;0603;X7R; ; ; ;Прочие изделия; ;10
C9;Чип конденсатор;C0805C475K4RAC; ;4,7 мк; ; ;Kemet; ;0805;X7R; ; ; ;Прочие изделия; ;10
C10;Чип конденсатор;C0805C475K4RAC; ;4,7 мк; ; ;Kemet; ;0805;X7R; ; ; ;Прочие изделия; ;10
C11;Чип конденсатор;C0805C475K4RAC; ;4,7 мк; ; ;Kemet; ;0805;X7R; ; ; ;Прочие изделия; ;10
C12;Чип конденсатор;C0603C105K4RAC; ;1 мк; ; ;Kemet; ;0603;X7R; ; ; ;Прочие изделия; ;10
C13;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C14;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C15;Чип конденсатор;C0603C105K4RAC; ;1 мк; ; ;Kemet; ;0603;X7R; ; ; ;Прочие изделия; ;10
C16;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C17;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C18;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C19;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C20;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C21;Чип конденсатор;C0402C103J4RAC; ;0,01 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C22;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C23;Чип конденсатор;C0603C474J4RAC; ;0,47 мк; ; ;Kemet; ;0603;X7R; ; ; ;Прочие изделия; ;5
C24;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C25;Чип конденсатор;C0402C100J4RAC; ;10; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C26;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C27;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C28;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C29;Чип конденсатор;C1206C226K8RAC; ;22 мк; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C30;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C31;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C32;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C33;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C34;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C35;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C36;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C37;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C38;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C39;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C40;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C41;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C42;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C43;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C44;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C45;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C46;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C47;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C48;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C49;Чип конденсатор;C0402C180J4RAC; ;18; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C50;Чип конденсатор;C0402C180J4RAC; ;18; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C51;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C52;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C53;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C54;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
