RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote;kol
C5,C6,C9-C15;Конденсатор чип;C0805C105K4RAC; ;1 мк; ; ;Kemet; ; ; ; ;16; ;Прочие изделия; ;9
C7,C8;Конденсатор танталовый чип;T491C107K010AT; ;100 мк; ; ;Kemet; ; ; ; ; ; ;Прочие изделия; ;2
DD1,DD2;Микросхема;SN74AHC1G125DCK; ; ; ; ;Texas Instruments; ; ; ; ; ; ;Прочие изделия; ;2
R5,R11,R14-R16,R19,R21,R50,R64,R100,R102,R108;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;12
R9,R10,R18,R98,R99,R111,R113,R115,R126,R128;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;10
R13;Резистор чип;CRCW060361R9FK; ;61,9; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;1
R17,R20,R46,R49,R104,R107;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; ;6
R23-R30,R32-R37,R44,R45,R47,R48,R52-R63,R66-R77,R92-R97,R116-R119,R121-R124;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; ;56
VD1;Диод;BAV23; ; ; ; ;NXP; ; ; ; ;200; ;Прочие изделия; ;1
XP1-XP6;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;6
XP7;Вилка;QMS-078-02-SL-D-RA-MG; ; ; ; ;Samtec; ; ; ; ; ; ;Прочие изделия; ;1
XS1-XS4,XS8;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; ;5
XS5;Вилка;83612-9020; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XS6;Розетка;280-027S5S50MTNA; ; ; ; ;Glenair; ; ; ; ; ; ;Прочие изделия; ;1
XS7;Розетка;MUSB-C111-M0; ; ; ; ;Amphenol; ; ; ; ; ; ;Прочие изделия; ;1
XT1,XT2;Лепесток; ;2-1,6-6,0-14-00; ;ГОСТ 16840-78; ; ; ; ; ; ; ; ;Стандартные изделия; ;2
XT3,XT4;Ловитель; ; ; ; ;СТИК.741532.035;НИИАО; ; ; ; ; ; ;Детали; ;2
X1,X2;Кабель;FFMD-05-T-02.00-01-N; ; ; ; ;Samtec; ; ; ; ; ; ;Прочие изделия; ;2
C1*-C4*;Конденсатор чип;GR442QR73D102KW01; ;1000; ; ;Murata;*) не уст.; ; ; ;2000; ;Прочие изделия; ;4
C16*;Конденсатор чип;C0805C105K4RAC; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDDDDD ; ; ;16; ;Прочие изделия; ;1
C17*;Конденсатор чип;C0805C105K4RAC1; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDDDD ; ; ;16; ;Прочие изделия; ;1
C18*;Конденсатор чип;C0805C105K4RAC2; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDDD ; ; ;16; ;Прочие изделия; ;1
C19*;Конденсатор чип;C0805C105K4RAC3; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDD ; ; ;16; ;Прочие изделия; ;1
C20*;Конденсатор чип;C0805C105K4RAC4; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDD ; ; ;16; ;Прочие изделия; ;1
C21*;Конденсатор чип;C0805C105K4RAC5; ;1 мк; Ту 45476587-90; ;Keme;*) не уст.;DDDDDDD ; ; ;16; ;Прочие изделия; ;1
R1*-R4*,R6*-R8*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;7
R12*;Резистор чип;CRCW060361R9FK; ;61,9; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R22*,R31*,R40*,R43*,R51*,R65*,R101*,R103*,R105*,R106*,R109*,R120*;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;12
R38*,R39*,R41*,R42*,R78*-R91*,R129*-R144*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;34
R110*,R112*,R114*,R125*,R127*;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;5
