C1*-C4*;Конденсатор чип;GR442QR73D102KW01; ;1000; ; ;Murata;*) не уст.; ; ; ;2000; ;Прочие изделия; ;4
C16*;Конденсатор чип;C0805C105K4RAC; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDDDDD ; ; ;16; ;Прочие изделия; ;1
C17*;Конденсатор чип;C0805C105K4RAC1; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDDDD ; ; ;16; ;Прочие изделия; ;1
C18*;Конденсатор чип;C0805C105K4RAC2; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDDD ; ; ;16; ;Прочие изделия; ;1
C19*;Конденсатор чип;C0805C105K4RAC3; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDDD ; ; ;16; ;Прочие изделия; ;1
C20*;Конденсатор чип;C0805C105K4RAC4; ;1 мк; Ту 45476587-90; ;Kemet;*) не уст.;DDD ; ; ;16; ;Прочие изделия; ;1
C21*;Конденсатор чип;C0805C105K4RAC5; ;1 мк; Ту 45476587-90; ;Keme;*) не уст.;DDDDDDD ; ; ;16; ;Прочие изделия; ;1
R1*-R4*,R6*-R8*;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;7
R12*;Резистор чип;CRCW060361R9FK; ;61,9; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;1
R22*,R31*,R40*,R43*,R51*,R65*,R101*,R103*,R105*,R106*,R109*,R120*;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;12
R38*,R39*,R41*,R42*,R78*-R91*,R129*-R144*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;34
R110*,R112*,R114*,R125*,R127*;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay;*) не уст.; ; ; ;75; ;Прочие изделия; ;5
